Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,collected_by,Isolation_source,Isolate,lat_lon,strain,host_disease,sample_type,Age,Biomaterial_provider,sex,tissue,env_broad_scale,env_local_scale,env_medium,Host_Age,host_disease_outcome,host_disease_stage,host_sex
SRR11085736,RNA-Seq,290,3458628776,PRJNA606159,SAMN14086235,Viral,1685471486,"WUHAN INSTITUTE OF VIROLOGY, CHINESE ACADEMY OF SCIENCES",public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7724693,Illumina HiSeq 3000,160660,PAIRED,RANDOM,METAGENOMIC,unclassified Rhinacovirus,ILLUMINA,2020-02-13T00:00:00Z,160660,SRP249478,Mar-2018,China,Asia,China,Rhinolophus affinis,Wuhan Institute of Virology,fecal swab,160660,,,,,,,,,,,,,,,
SRR11085737,RNA-Seq,267,3087725372,PRJNA606159,SAMN14086234,Viral,1521065315,"WUHAN INSTITUTE OF VIROLOGY, CHINESE ACADEMY OF SCIENCES",public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7724692,Illumina HiSeq 3000,HK140714,PAIRED,RANDOM,METAGENOMIC,unclassified Pedacovirus,ILLUMINA,2020-02-13T00:00:00Z,HK140714,SRP249478,Mar-2018,China,Asia,China,Scotophilus kuhlii,Wuhan Institute of Virology,fecal swab,HK140714,,,,,,,,,,,,,,,
SRR11085738,RNA-Seq,284,4198475966,PRJNA606159,SAMN14086233,Viral,2120732906,"WUHAN INSTITUTE OF VIROLOGY, CHINESE ACADEMY OF SCIENCES",public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX7724691,Illumina HiSeq 3000,BY140568,PAIRED,RANDOM,METAGENOMIC,unclassified Merbecovirus,ILLUMINA,2020-02-13T00:00:00Z,BY140568,SRP249478,Mar-2018,China,Asia,China,Pipistrellus abramus,Wuhan Institute of Virology,fecal swab,BY140568,,,,,,,,,,,,,,,
SRR11085740,RNA-Seq,280,2755667968,PRJNA606159,SAMN14086231,Viral,1356627982,"WUHAN INSTITUTE OF VIROLOGY, CHINESE ACADEMY OF SCIENCES",public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX7724689,Illumina HiSeq 3000,6610,PAIRED,RANDOM,METAGENOMIC,unclassified Minunacovirus,ILLUMINA,2020-02-13T00:00:00Z,6610,SRP249478,Mar-2018,China,Asia,China,Miniopterus pusillus,Wuhan Institute of Virology,fecal swab,6610,,,,,,,,,,,,,,,
SRR11085741,RNA-Seq,279,3480540019,PRJNA606159,SAMN14086230,Viral,1736199432,"WUHAN INSTITUTE OF VIROLOGY, CHINESE ACADEMY OF SCIENCES",public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7724688,Illumina HiSeq 3000,5425,PAIRED,RANDOM,METAGENOMIC,unclassified Duvinacovirus,ILLUMINA,2020-02-13T00:00:00Z,5425,SRP249478,Mar-2018,Kenya,Africa,Kenya,Rousettus aegyptiacus,Wuhan Institute of Virology,fecal swab,5425,,,,,,,,,,,,,,,
SRR11085797,RNA-Seq,284,3296572317,PRJNA606165,SAMN14082201,Pathogen.cl,1800934968,"WUHAN INSTITUTE OF VIROLOGY, CHINESE ACADEMY OF SCIENCES",public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX7724752,Illumina HiSeq 3000,RaTG13,PAIRED,RANDOM,METAGENOMIC,unidentified coronavirus,ILLUMINA,2020-02-13T00:00:00Z,RaTG13,SRP249482,24-Jul-2013,China,Asia,China,Rhinolophus affinis,Wuhan Institute of Virology,fecal swab,RaTG13,not collected,Bat coronavirus isolate RaTG13,not applicable,,,,,,,,,,,,
SRR11177792,RNA-Seq,536,2817120987,PRJNA608651,SAMN14180202,Pathogen.cl,1293360832,UNIVERSIDAD TECNOLOGICA DE PEREIRA,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX7798477,Illumina MiSeq,EPI_ISL_410301,PAIRED,RT-PCR,GENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-02-25T00:00:00Z,BetaCoV/Nepal/61/2020,SRP250653,13-Jan-2020,Nepal,Asia,Nepal: Kathmandu,Homo sapiens,"National Influenza Centre\, National Public health Laboratory\, Kathmandu\, Nepal",Oro-pharyngeal swab,SARS0CoV-2/61-TW/human/2020/ NPL,27.71 N 85.32 E,,COVID-19,,,,,,,,,32,Survived,Acute,male
SRR11278092,RNA-Seq,74,7592719,PRJNA610428,SAMN14341561,Pathogen.cl,977847,UNIVERSITY OF WASHINGTON,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7884333,NextSeq 500,WA11-UW7,SINGLE,unspecified,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-03-09T00:00:00Z,WA11-UW7,SRP251618,2020,USA,North America,USA:WA,Homo sapiens,University of Washington Virology laboratory,missing,WA11-UW7,missing,hCoV/USA/WA11-UW7/2020,COVID-19,,,,,,,,,,,,
SRR11278165,RNA-Seq,74,9173640,PRJNA610428,SAMN14341639,Pathogen.cl,1549024,UNIVERSITY OF WASHINGTON,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7884410,NextSeq 500,WA17-UW13,SINGLE,unspecified,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-03-09T00:00:00Z,WA17-UW13,SRP251618,2020,USA,North America,USA:WA,Homo sapiens,University of Washington Virology laboratory,missing,WA17-UW13,missing,hCoV/USA/WA17-UW13/2020,COVID-19,,,,,,,,,,,,
SRR11278166,RNA-Seq,74,615986088,PRJNA610428,SAMN14341638,Pathogen.cl,78215367,UNIVERSITY OF WASHINGTON,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7884409,NextSeq 500,WA16-UW12,SINGLE,unspecified,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-03-09T00:00:00Z,WA16-UW12,SRP251618,2020,USA,North America,USA:WA,Homo sapiens,University of Washington Virology laboratory,missing,WA16-UW12,missing,hCoV/USA/WA16-UW12/2020,COVID-19,,,,,,,,,,,,
SRR11278167,RNA-Seq,74,759300927,PRJNA610428,SAMN14341637,Pathogen.cl,101917956,UNIVERSITY OF WASHINGTON,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX7884408,NextSeq 500,WA15-UW11,SINGLE,unspecified,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-03-09T00:00:00Z,WA15-UW11,SRP251618,2020,USA,North America,USA:WA,Homo sapiens,University of Washington Virology laboratory,missing,WA15-UW11,missing,hCoV/USA/WA15-UW11/2020,COVID-19,,,,,,,,,,,,
SRR11278168,RNA-Seq,65,2913504,PRJNA610428,SAMN14341636,Pathogen.cl,616037,UNIVERSITY OF WASHINGTON,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX7884407,NextSeq 500,WA14-UW10,SINGLE,unspecified,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-03-09T00:00:00Z,WA14-UW10,SRP251618,2020,USA,North America,USA:WA,Homo sapiens,University of Washington Virology laboratory,missing,WA14-UW10,missing,hCoV/USA/WA14-UW10/2020,COVID-19,,,,,,,,,,,,
SRR11092058,RNA-Seq,270,2232781003,PRJNA605983,SAMN14082196,Pathogen.cl,1240770183,"WUHAN INSTITUTE OF VIROLOGY, CHINESE ACADEMY OF SCIENCES",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7730885,Illumina MiSeq,WIV02,PAIRED,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-02-15T00:00:00Z,WIV02,SRP249613,30-Dec-2019,China,Asia,China: Wuhan,Homo sapiens,Wuhan Jinyintan Hospital,bronchoalveolar lavage fluid,WIV02,not collected,Wuhan seafood market pneumonia virus isolate WIV02,pneumonia,,,,,,,,,,,,
